split,hourly_threshold_mm,product,rank,model,CSI,HSS,POD,FAR,frequency_bias,observed_events
development_2023_2025,5.0,episode_pm2h,7,ECMWF_HRES,0.0,,0.0,,0.0,277
development_2023_2025,5.0,episode_pm2h,8,JMA_GSM,0.0,,0.0,,0.0,277
development_2023_2025,5.0,strict_hourly,1,UKMO_GLOBAL_10KM,0.0195,0.0292,0.0292,0.9448,0.5277,343
development_2023_2025,5.0,strict_hourly,2,GEM_GLOBAL,0.0095,0.0138,0.0117,0.9506,0.23615,343
development_2023_2025,5.0,strict_hourly,3,METEOFRANCE_ARPEGE_WORLD,0.0028,0.0046,0.0029,0.9231,0.0379,343
development_2023_2025,5.0,strict_hourly,4,ECMWF_HRES,0.0,0.0,0.0,,0.0,343
development_2023_2025,5.0,strict_hourly,5,JMA_GSM,0.0,0.0,0.0,,0.0,343
development_2023_2025,5.0,strict_hourly,6,ICON_SEAMLESS,0.0,-0.0002,0.0,1.0,0.00583,343
development_2023_2025,5.0,strict_hourly,7,GFS_GLOBAL,0.0,-0.0007,0.0,1.0,0.02663,338
development_2023_2025,5.0,strict_hourly,8,CMA_GRAPES_GLOBAL,0.0,-0.0025,0.0,1.0,0.10496,343
development_2023_2025,10.0,cadence_aware_episode,1,GEM_GLOBAL,0.0081,,0.0085,0.8571,0.05983,117
development_2023_2025,10.0,cadence_aware_episode,2,UKMO_GLOBAL_10KM,0.0068,,0.0085,0.9688,0.2735,117
development_2023_2025,10.0,cadence_aware_episode,3,CMA_GRAPES_GLOBAL,0.0,,0.0,1.0,0.00855,117
development_2023_2025,10.0,cadence_aware_episode,4,ECMWF_HRES,0.0,,0.0,,0.0,117
development_2023_2025,10.0,cadence_aware_episode,5,GFS_GLOBAL,0.0,,0.0,1.0,0.02564,117
development_2023_2025,10.0,cadence_aware_episode,6,ICON_SEAMLESS,0.0,,0.0,,0.0,117
development_2023_2025,10.0,cadence_aware_episode,7,JMA_GSM,0.0,,0.0,,0.0,117
development_2023_2025,10.0,cadence_aware_episode,8,METEOFRANCE_ARPEGE_WORLD,0.0,,0.0,,0.0,117
development_2023_2025,10.0,complete_3h_rate_equivalent,1,GEM_GLOBAL,0.0256,0.0484,0.0323,0.8889,0.29032,31
development_2023_2025,10.0,complete_3h_rate_equivalent,2,ECMWF_HRES,0.0,0.0,0.0,,0.0,31
development_2023_2025,10.0,complete_3h_rate_equivalent,3,GFS_GLOBAL,0.0,0.0,0.0,,0.0,30
development_2023_2025,10.0,complete_3h_rate_equivalent,4,ICON_SEAMLESS,0.0,0.0,0.0,,0.0,31
development_2023_2025,10.0,complete_3h_rate_equivalent,5,JMA_GSM,0.0,0.0,0.0,,0.0,31
development_2023_2025,10.0,complete_3h_rate_equivalent,6,METEOFRANCE_ARPEGE_WORLD,0.0,0.0,0.0,,0.0,31
development_2023_2025,10.0,complete_3h_rate_equivalent,7,CMA_GRAPES_GLOBAL,0.0,-0.0002,0.0,1.0,0.03226,31
development_2023_2025,10.0,complete_3h_rate_equivalent,8,UKMO_GLOBAL_10KM,0.0,-0.0004,0.0,1.0,0.06452,31
development_2023_2025,10.0,complete_3h_same_numeric,1,METEOFRANCE_ARPEGE_WORLD,0.0309,0.0528,0.0377,0.8537,0.25786,159
development_2023_2025,10.0,complete_3h_same_numeric,2,GEM_GLOBAL,0.0189,0.0275,0.0252,0.9298,0.35849,159
development_2023_2025,10.0,complete_3h_same_numeric,3,UKMO_GLOBAL_10KM,0.0176,0.0233,0.0252,0.9444,0.45283,159
development_2023_2025,10.0,complete_3h_same_numeric,4,ICON_SEAMLESS,0.0063,0.012,0.0063,0.5,0.01258,159
development_2023_2025,10.0,complete_3h_same_numeric,5,GFS_GLOBAL,0.0059,0.0085,0.0064,0.9333,0.09615,156
development_2023_2025,10.0,complete_3h_same_numeric,6,CMA_GRAPES_GLOBAL,0.0051,0.0028,0.0063,0.9744,0.24528,159
development_2023_2025,10.0,complete_3h_same_numeric,7,JMA_GSM,0.0,-0.0005,0.0,1.0,0.01258,159
development_2023_2025,10.0,complete_3h_same_numeric,8,ECMWF_HRES,0.0,-0.0007,0.0,1.0,0.01887,159
development_2023_2025,10.0,episode_pm1h,1,UKMO_GLOBAL_10KM,0.0068,,0.0085,0.9688,0.2735,117
development_2023_2025,10.0,episode_pm1h,2,CMA_GRAPES_GLOBAL,0.0,,0.0,1.0,0.00855,117
development_2023_2025,10.0,episode_pm1h,3,ECMWF_HRES,0.0,,0.0,,0.0,117
development_2023_2025,10.0,episode_pm1h,4,GEM_GLOBAL,0.0,,0.0,1.0,0.05983,117
development_2023_2025,10.0,episode_pm1h,5,GFS_GLOBAL,0.0,,0.0,1.0,0.02564,117
development_2023_2025,10.0,episode_pm1h,6,ICON_SEAMLESS,0.0,,0.0,,0.0,117
development_2023_2025,10.0,episode_pm1h,7,JMA_GSM,0.0,,0.0,,0.0,117
development_2023_2025,10.0,episode_pm1h,8,METEOFRANCE_ARPEGE_WORLD,0.0,,0.0,,0.0,117
development_2023_2025,10.0,episode_pm2h,1,GEM_GLOBAL,0.0081,,0.0085,0.8571,0.05983,117
