hourly_threshold_mm,product,model,development_rank,holdout_rank,rank_change_holdout_minus_development,development_CSI,holdout_CSI,development_FAR,holdout_FAR,development_top3,holdout_top3
1.5,strict_hourly,METEOFRANCE_ARPEGE_WORLD,1,4,3,0.0697,0.0658,0.8934,0.9184,True,False
1.5,strict_hourly,UKMO_GLOBAL_10KM,6,2,-4,0.0391,0.0805,0.9308,0.892,False,True
5.0,cadence_aware_episode,CMA_GRAPES_GLOBAL,5,4,-1,0.0,0.0,1.0,1.0,False,False
5.0,cadence_aware_episode,ECMWF_HRES,6,5,-1,0.0,0.0,,1.0,False,False
5.0,cadence_aware_episode,GEM_GLOBAL,2,3,1,0.017,0.0256,0.7727,0.9286,True,True
5.0,cadence_aware_episode,GFS_GLOBAL,4,2,-2,0.0036,0.0345,0.8,0.75,False,True
5.0,cadence_aware_episode,ICON_SEAMLESS,7,6,-1,0.0,0.0,1.0,1.0,False,False
5.0,cadence_aware_episode,JMA_GSM,8,7,-1,0.0,0.0,,,False,False
5.0,cadence_aware_episode,METEOFRANCE_ARPEGE_WORLD,3,8,5,0.0071,0.0,0.75,1.0,True,False
5.0,cadence_aware_episode,UKMO_GLOBAL_10KM,1,1,0,0.0286,0.0455,0.9226,0.9,True,True
5.0,complete_3h_rate_equivalent,CMA_GRAPES_GLOBAL,8,6,-2,0.0,0.0,1.0,1.0,False,False
5.0,complete_3h_rate_equivalent,ECMWF_HRES,3,4,1,0.0,0.0,,1.0,True,False
5.0,complete_3h_rate_equivalent,GEM_GLOBAL,1,8,7,0.0163,0.0,0.9259,1.0,True,False
5.0,complete_3h_rate_equivalent,GFS_GLOBAL,7,5,-2,0.0,0.0,1.0,1.0,False,False
5.0,complete_3h_rate_equivalent,ICON_SEAMLESS,4,1,-3,0.0,0.0,,,False,True
5.0,complete_3h_rate_equivalent,JMA_GSM,5,2,-3,0.0,0.0,,,False,True
5.0,complete_3h_rate_equivalent,METEOFRANCE_ARPEGE_WORLD,6,3,-3,0.0,0.0,1.0,,False,True
5.0,complete_3h_rate_equivalent,UKMO_GLOBAL_10KM,2,7,5,0.0088,0.0,0.9412,1.0,True,False
5.0,complete_3h_same_numeric,CMA_GRAPES_GLOBAL,5,8,3,0.0388,0.0407,0.9125,0.949,False,False
5.0,complete_3h_same_numeric,ECMWF_HRES,8,1,-7,0.0059,0.1,0.8824,0.8511,False,True
5.0,complete_3h_same_numeric,GEM_GLOBAL,3,2,-1,0.0463,0.0986,0.8743,0.8542,True,True
5.0,complete_3h_same_numeric,GFS_GLOBAL,2,5,3,0.0556,0.0741,0.8698,0.8947,True,False
5.0,complete_3h_same_numeric,ICON_SEAMLESS,6,3,-3,0.0201,0.0909,0.9059,0.8704,False,True
5.0,complete_3h_same_numeric,JMA_GSM,7,6,-1,0.0106,0.0652,0.9333,0.8421,False,False
5.0,complete_3h_same_numeric,METEOFRANCE_ARPEGE_WORLD,1,4,3,0.0669,0.0864,0.8619,0.8793,True,False
5.0,complete_3h_same_numeric,UKMO_GLOBAL_10KM,4,7,3,0.045,0.0411,0.9031,0.9348,False,False
5.0,episode_pm1h,CMA_GRAPES_GLOBAL,5,4,-1,0.0,0.0,1.0,1.0,False,False
5.0,episode_pm1h,ECMWF_HRES,6,5,-1,0.0,0.0,,1.0,False,False
5.0,episode_pm1h,GEM_GLOBAL,3,3,0,0.0067,0.0256,0.9091,0.9286,True,True
5.0,episode_pm1h,GFS_GLOBAL,4,2,-2,0.0036,0.0345,0.8,0.75,False,True
5.0,episode_pm1h,ICON_SEAMLESS,7,6,-1,0.0,0.0,1.0,1.0,False,False
5.0,episode_pm1h,JMA_GSM,8,7,-1,0.0,0.0,,,False,False
5.0,episode_pm1h,METEOFRANCE_ARPEGE_WORLD,2,8,6,0.0071,0.0,0.75,1.0,True,False
5.0,episode_pm1h,UKMO_GLOBAL_10KM,1,1,0,0.0286,0.0455,0.9226,0.9,True,True
5.0,episode_pm2h,CMA_GRAPES_GLOBAL,6,4,-2,0.0,0.0,1.0,1.0,False,False
5.0,episode_pm2h,ECMWF_HRES,7,5,-2,0.0,0.0,,1.0,False,False
5.0,episode_pm2h,GEM_GLOBAL,2,3,1,0.017,0.0256,0.7727,0.9286,True,True
5.0,episode_pm2h,GFS_GLOBAL,5,2,-3,0.0036,0.0345,0.8,0.75,False,True
5.0,episode_pm2h,ICON_SEAMLESS,4,6,2,0.0036,0.0,0.5,1.0,False,False
5.0,episode_pm2h,JMA_GSM,8,7,-1,0.0,0.0,,,False,False
5.0,episode_pm2h,METEOFRANCE_ARPEGE_WORLD,3,8,5,0.0071,0.0,0.75,1.0,True,False
5.0,episode_pm2h,UKMO_GLOBAL_10KM,1,1,0,0.0562,0.0952,0.8516,0.8,True,True
5.0,strict_hourly,CMA_GRAPES_GLOBAL,8,7,-1,0.0,0.0,1.0,1.0,False,False
5.0,strict_hourly,ECMWF_HRES,4,5,1,0.0,0.0,,1.0,False,False
5.0,strict_hourly,GEM_GLOBAL,2,8,6,0.0095,0.0,0.9506,1.0,True,False
5.0,strict_hourly,GFS_GLOBAL,7,2,-5,0.0,0.0263,1.0,0.8889,False,True
5.0,strict_hourly,ICON_SEAMLESS,6,4,-2,0.0,0.0,1.0,1.0,False,False
5.0,strict_hourly,JMA_GSM,5,3,-2,0.0,0.0,,,False,True
5.0,strict_hourly,METEOFRANCE_ARPEGE_WORLD,3,6,3,0.0028,0.0,0.9231,1.0,True,False
5.0,strict_hourly,UKMO_GLOBAL_10KM,1,1,0,0.0195,0.0492,0.9448,0.9118,True,True
10.0,cadence_aware_episode,CMA_GRAPES_GLOBAL,3,1,-2,0.0,0.0,1.0,,True,True
10.0,cadence_aware_episode,ECMWF_HRES,4,2,-2,0.0,0.0,,,False,True
10.0,cadence_aware_episode,GEM_GLOBAL,1,3,2,0.0081,0.0,0.8571,1.0,True,True
10.0,cadence_aware_episode,GFS_GLOBAL,5,4,-1,0.0,0.0,1.0,1.0,False,False
10.0,cadence_aware_episode,ICON_SEAMLESS,6,5,-1,0.0,0.0,,,False,False
10.0,cadence_aware_episode,JMA_GSM,7,6,-1,0.0,0.0,,,False,False
10.0,cadence_aware_episode,METEOFRANCE_ARPEGE_WORLD,8,7,-1,0.0,0.0,,,False,False
10.0,cadence_aware_episode,UKMO_GLOBAL_10KM,2,8,6,0.0068,0.0,0.9688,1.0,True,False
10.0,complete_3h_rate_equivalent,CMA_GRAPES_GLOBAL,7,1,-6,0.0,0.0,1.0,,False,True
10.0,complete_3h_rate_equivalent,ECMWF_HRES,2,2,0,0.0,0.0,,,True,True
10.0,complete_3h_rate_equivalent,GEM_GLOBAL,1,8,7,0.0256,0.0,0.8889,1.0,True,False
10.0,complete_3h_rate_equivalent,GFS_GLOBAL,3,7,4,0.0,0.0,,1.0,True,False
10.0,complete_3h_rate_equivalent,ICON_SEAMLESS,4,3,-1,0.0,0.0,,,False,True
10.0,complete_3h_rate_equivalent,JMA_GSM,5,4,-1,0.0,0.0,,,False,False
10.0,complete_3h_rate_equivalent,METEOFRANCE_ARPEGE_WORLD,6,5,-1,0.0,0.0,,,False,False
10.0,complete_3h_rate_equivalent,UKMO_GLOBAL_10KM,8,6,-2,0.0,0.0,1.0,,False,False
10.0,complete_3h_same_numeric,CMA_GRAPES_GLOBAL,6,5,-1,0.0051,0.0278,0.9744,0.95,False,False
10.0,complete_3h_same_numeric,ECMWF_HRES,8,8,0,0.0,0.0,1.0,1.0,False,False
10.0,complete_3h_same_numeric,GEM_GLOBAL,2,2,0,0.0189,0.0571,0.9298,0.9,True,True
10.0,complete_3h_same_numeric,GFS_GLOBAL,5,1,-4,0.0059,0.0952,0.9333,0.6667,False,True
10.0,complete_3h_same_numeric,ICON_SEAMLESS,4,7,3,0.0063,0.0,0.5,1.0,False,False
10.0,complete_3h_same_numeric,JMA_GSM,7,6,-1,0.0,0.0,1.0,,False,False
10.0,complete_3h_same_numeric,METEOFRANCE_ARPEGE_WORLD,1,3,2,0.0309,0.0417,0.8537,0.875,True,True
